num,type,d_le,a_le,gender,d1_r1,d2_r1,d3_r1,rt_d1_r1,rt_d2_r1,rt_d3_r1,d1_r2,d2_r2,d3_r2,rt_d1_r2,rt_d2_r2,rt_d3_r2,d1_r3,d2_r3,d3_r3,rt_d1_r3,rt_d2_r3,rt_d3_r3,d1_r4,d2_r4,d3_r4,rt_d1_r4,rt_d2_r4,rt_d3_r4,d1_r5,d2_r5,d3_r5,rt_d1_r5,rt_d2_r5,rt_d3_r5,d1_r6,d2_r6,d3_r6,rt_d1_r6,rt_d2_r6,rt_d3_r6,d1_r7,d2_r7,d3_r7,rt_d1_r7,rt_d2_r7,rt_d3_r7,d1_r8,d2_r8,d3_r8,rt_d1_r8,rt_d2_r8,rt_d3_r8,d1_r9,d2_r9,d3_r9,rt_d1_r9,rt_d2_r9,rt_d3_r9,d1_r10,d2_r10,d3_r10,rt_d1_r10,rt_d2_r10,rt_d3_r10,d1_r11,d2_r11,d3_r11,rt_d1_r11,rt_d2_r11,rt_d3_r11,d1_r12,d2_r12,d3_r12,rt_d1_r12,rt_d2_r12,rt_d3_r12,d1_r13,d2_r13,d3_r13,rt_d1_r13,rt_d2_r13,rt_d3_r13,d1_r14,d2_r14,d3_r14,rt_d1_r14,rt_d2_r14,rt_d3_r14,d1_r15,d2_r15,d3_r15,rt_d1_r15,rt_d2_r15,rt_d3_r15,d1_r16,d2_r16,d3_r16,rt_d1_r16,rt_d2_r16,rt_d3_r16,d1_r17,d2_r17,d3_r17,rt_d1_r17,rt_d2_r17,rt_d3_r17,d1_r18,d2_r18,d3_r18,rt_d1_r18,rt_d2_r18,rt_d3_r18,d1_r19,d2_r19,d3_r19,rt_d1_r19,rt_d2_r19,rt_d3_r19,d1_r20,d2_r20,d3_r20,rt_d1_r20,rt_d2_r20,rt_d3_r20,d1_r21,d2_r21,d3_r21,rt_d1_r21,rt_d2_r21,rt_d3_r21,d1_r22,d2_r22,d3_r22,rt_d1_r22,rt_d2_r22,rt_d3_r22,d1_r23,d2_r23,d3_r23,rt_d1_r23,rt_d2_r23,rt_d3_r23,d1_r24,d2_r24,d3_r24,rt_d1_r24,rt_d2_r24,rt_d3_r24
84,1,2,1,1,10,15,15,2217,5358,2823,15,13,15,2417,1635,1744,10,10,6,1757,1373,1376,10,11,12,1915,1750,2882,1,14,11,1892,2140,1316,10,2,11,3987,1823,1824,1,8,5,2086,1775,1421,6,9,11,3139,1824,1344,1,15,11,1788,1508,1308,10,9,11,3001,5060,1864,1,10,10,1717,1884,2503,10,11,11,3506,1645,2555,1,,6,1961,1708,2052,1,,0,2108,1370,3595,1,,0,1680,1911,3133,5,,10,1688,1821,7049,2,,6,2565,2176,7009,2,,10,2126,1727,2436,8,,0,1787,1874,4836,1,,10,2859,2116,3448,5,,10,1969,5182,2992,8,,10,5005,2929,3490,5,,0,2230,1727,4408,6,,10,5241,1137,4567
85,1,2,1,2,10,15,10,2497,2175,2090,8,1,8,4760,6574,3680,8,13,8,4569,3695,1503,12,13,11,1878,3344,1114,8,13,10,1639,1169,4771,5,12,8,1833,3329,903,10,12,8,2407,1254,4358,10,14,10,3302,3671,1748,8,0,5,6154,1107,923,8,14,10,3793,1759,1420,12,10,6,4013,2199,807,4,10,8,1785,2377,949,12,,9,3376,4163,3479,5,,8,3715,1383,1095,10,,7,5108,5601,1387,8,,10,7056,2454,1522,10,,9,4631,1957,5080,5,,5,1492,2385,955,10,,13,1594,9152,1045,8,,5,964,2675,817,8,,10,2577,2729,1306,8,,8,906,4093,1460,8,,9,2111,2423,2860,10,,8,1535,3752,1430
26,1,1,1,2,19,10,14,5335,1945,2611,16,14,15,3818,1928,3952,14,14,14,1043,1250,2648,13,12,14,841,1483,3075,12,13,12,2019,1729,2870,14,14,14,1469,1667,2533,16,15,15,1353,1431,3544,16,15,15,2320,1420,5234,15,14,15,1791,1303,1875,15,15,14,1791,2817,3191,16,15,15,1435,1620,4691,16,16,16,2169,1537,2995,15,15,15,1923,1350,1559,16,16,15,1778,3443,2444,16,17,16,1557,1869,1702,16,16,16,5602,2497,3262,17,16,16,1265,2906,1900,18,17,17,9381,1513,1855,17,17,16,5134,3041,2404,17,16,17,1625,1423,2656,15,15,15,1661,1712,1594,14,13,14,6052,1740,1753,15,15,14,2207,1742,2950,17,16,17,1428,2134,2615
27,0,3,,2,8,5,11,4115,3494,11547,8,2,0,2974,1375,3262,0,1,0,9452,804,5375,8,3,5,2601,762,6202,8,4,7,5998,864,6649,8,3,5,3654,779,4222,8,5,6,3233,824,2917,8,3,9,6220,1770,2968,5,0,3,7610,1800,4194,5,3,1,4150,1221,6909,5,7,6,7126,815,4689,0,4,0,7915,1344,3008,8,0,11,4610,702,2014,8,0,8,3533,1064,2549,6,0,0,4939,916,3314,0,0,3,3325,1174,6332,8,0,7,5786,1093,2903,0,0,4,11827,793,6096,6,0,9,1657,984,8442,8,0,0,3667,916,3639,8,0,4,2692,820,3377,10,6,0,3307,940,6012,8,0,5,3343,977,2372,8,0,6,5846,1065,4040
32,1,2,,2,3,5,1,3883,3826,2286,2,3,1,3233,1692,3918,3,10,6,4851,3906,3257,11,16,12,5126,2680,2597,11,15,11,2694,1230,2317,10,10,1,5198,1456,1910,10,10,5,2535,1314,2025,6,8,3,2181,1417,784,6,8,1,2120,1635,2165,2,6,1,658,1838,1912,2,5,1,1640,2454,2168,6,16,5,2460,1838,3210,8,15,6,1791,1889,2175,6,10,1,3680,1592,2130,5,3,1,4779,1596,3148,8,10,1,3478,1777,2431,8,17,7,2608,1114,2706,6,5,0,3700,1927,2091,9,15,2,1968,1328,3279,3,10,6,4682,1391,4725,4,15,8,1467,1094,2720,14,15,2,2010,1218,2274,13,15,2,2530,1083,3245,15,15,2,2772,3175,3232
30,0,1,,2,8,1,9,5365,2171,4386,9,2,9,2578,1575,9375,12,10,9,1769,1831,3103,10,9,8,1598,2260,2616,14,9,13,4743,5224,8901,12,9,12,3543,4534,2322,13,10,13,2522,3558,3088,14,10,12,1433,1374,1677,12,10,8,1141,5995,949,10,10,7,2542,2869,965,12,10,10,4016,1811,3238,13,10,10,1319,3442,2089,13,10,10,1273,2843,5082,14,15,10,5380,6502,4008,15,14,12,3041,2677,3260,14,13,12,2523,2115,2333,10,12,5,5021,8320,3494,9,11,6,1472,3783,3922,9,10,6,1311,1762,1327,12,9,7,952,1872,3942,12,8,10,1097,2283,3004,13,9,12,7199,2079,5138,11,10,8,5356,6291,1485,8,10,4,1088,2902,3686
28,0,1,,1,10,10,8,2655,12956,2153,5,1,10,2073,8699,5580,10,10,10,2173,5457,3368,10,8,10,1016,8570,3965,10,10,5,2935,9327,4845,0,15,5,1457,5598,2303,10,15,12,1847,5505,4824,10,15,10,1046,8064,3461,10,1,3,3100,5857,4521,0,1,1,1236,2037,2117,10,1,0,7362,5106,3658,10,1,1,6503,3498,3119,15,1,10,1528,12595,2392,10,15,0,1424,9657,3794,10,10,15,5853,5034,3208,10,10,10,2677,1971,9819,0,1,0,7029,1782,1802,10,5,10,2271,7005,3297,10,13,10,6782,4454,6826,10,0,0,3401,6012,5469,10,1,8,5525,10040,6052,10,10,15,4807,10892,8022,10,0,15,5892,7938,8903,10,15,10,2657,5189,2412
29,1,1,,2,5,5,5,849,1407,1579,3,6,5,1038,934,1123,5,4,5,785,827,897,7,6,4,743,1121,2036,2,5,5,806,3947,933,5,4,2,832,4155,976,6,6,3,1665,862,1457,7,4,6,822,4526,1357,3,6,7,792,3943,1106,2,5,5,1471,953,1907,8,5,7,784,872,1247,8,7,3,789,2040,1313,5,6,5,1380,2468,1059,7,5,7,771,774,2371,3,7,6,723,5868,1799,5,6,7,1688,4762,3705,0,6,2,1447,5723,1105,3,4,7,1126,1079,1947,3,4,2,2224,1426,1242,7,4,3,868,1040,2301,5,4,5,877,7002,2967,7,5,7,904,4150,1143,8,6,7,1536,7288,1175,3,7,7,730,3604,3576
72,1,,,1,15,5,5,1542,3979,2280,7,8,6,1193,2079,3702,11,15,8,1434,2734,1475,11,12,8,2028,1581,2229,8,15,10,3018,1863,2752,13,14,10,2785,1851,2838,8,12,10,3439,3318,2284,8,8,2,1171,1906,4695,8,14,16,990,1605,1701,9,13,10,915,1618,1586,8,4,2,940,1306,2311,7,13,8,1185,1341,1582,7,12,6,1146,4254,2920,9,9,7,1094,3370,4128,6,13,0,891,1662,2001,9,2,10,1513,1422,2459,5,12,10,3068,3203,2191,9,13,0,1273,2119,2695,5,12,6,744,2407,1037,0,12,8,1669,1998,2991,11,12,10,2893,2003,1563,9,8,7,956,1539,1841,0,8,2,1025,1719,4461,5,17,8,843,1683,1829
75,1,,,1,12,9,10,1515,10606,4305,12,8,7,5040,3817,5656,12,9,5,1252,1850,3222,13,9,15,1623,1209,5301,12,10,3,1173,1495,2231,12,8,7,1020,3685,3371,13,9,10,8237,2626,2588,11,9,0,1897,8158,2646,12,9,7,2099,2008,5322,13,10,9,2090,2385,4606,12,7,7,1676,3674,3338,13,9,12,1913,1447,2481,12,7,10,2197,4496,2348,13,11,12,960,2541,3245,12,8,7,4301,3981,1324,11,11,7,1258,8771,3688,12,7,10,1776,2542,2046,13,10,12,11226,2239,5746,11,10,7,5967,1442,3513,12,11,7,1653,4727,3463,10,8,7,3582,3948,2939,11,9,12,1601,2116,2918,10,11,7,2582,2806,1920,11,9,7,2377,9543,2986
74,0,,,2,15,15,11,2985,6438,4448,10,12,8,1708,1842,947,5,7,6,1536,871,2351,10,14,9,1103,3731,3875,10,7,12,1316,679,1353,10,11,8,1604,3732,1817,10,13,8,1564,1698,3394,15,13,9,1305,4225,2284,15,13,6,1334,3563,3752,10,10,5,2564,3268,1891,10,10,6,1190,8108,2023,10,8,5,1574,2785,2322,10,14,11,2802,1729,1624,14,11,2,1587,7092,978,10,7,5,1428,3773,780,15,16,8,1253,4717,4102,15,9,12,3831,5012,4442,10,10,3,2803,10731,3115,10,10,9,1009,4395,6757,15,7,10,1371,2085,6764,15,7,7,6184,2573,3632,10,7,5,1150,4431,3780,15,14,12,1363,3084,2384,15,6,6,1087,2298,4548
45,0,,,1,15,15,11,8921,11408,1583,13,15,12,7368,5796,1074,8,12,11,2778,4692,1244,15,14,14,1642,3210,2195,18,10,11,1329,4455,1664,20,15,15,7708,5311,2426,13,10,11,6478,7138,3030,10,15,12,7566,1912,834,15,10,11,6239,2610,1088,16,10,10,7617,6390,6479,15,12,10,2689,7266,3284,15,12,14,6402,9918,5918,8,18,15,3796,3487,3710,16,10,15,3800,1418,3011,18,13,10,1377,2199,3170,17,16,11,6338,1535,5725,15,14,12,4669,3292,4910,17,14,13,6609,1829,6029,6,10,13,2666,7407,3753,10,12,10,4574,3036,3446,8,12,10,5149,1731,2442,17,10,11,4501,6545,2705,15,14,10,1559,5532,1444,14,12,10,7955,4231,2113
42,1,,,2,20,9,10,1690,2531,2916,11,9,7,1875,2151,1034,9,2,9,1479,1098,823,8,1,3,1812,1932,807,8,3,9,3704,1011,998,9,5,5,1912,1396,820,7,3,6,1570,1928,843,7,3,6,1803,1377,1003,8,5,9,2217,859,832,8,4,5,1758,897,724,7,1,3,1685,2790,3426,8,3,9,2400,2226,684,9,3,9,1493,1802,1165,8,3,6,2108,3326,1400,7,1,3,1469,1545,861,7,3,5,3702,1501,1108,7,3,5,2121,2994,843,7,3,7,1652,2314,2955,7,7,8,2425,1139,1794,8,6,6,3581,2823,898,8,5,7,1300,1300,943,7,4,7,2215,1171,810,8,5,7,1904,2210,883,9,5,9,735,1581,695
41,0,,,2,16,15,19,2771,3224,3215,17,15,18,3152,2080,2679,18,15,18,1928,1956,2267,18,10,17,2081,1803,1948,15,10,10,1354,2862,1785,10,8,8,2049,4684,3071,9,5,7,1444,1400,2062,6,5,5,2349,1774,4138,4,5,5,1427,1996,2141,17,10,8,2138,2249,2520,14,10,8,1824,3326,2680,5,8,8,1657,2362,2566,6,5,8,2044,2586,2680,18,5,6,3327,2198,2265,5,5,8,2563,2239,3766,10,10,6,2439,2929,1573,19,10,8,3155,2572,1994,14,8,7,3895,1885,1552,4,5,7,2392,7336,2268,8,5,6,1612,3436,2461,15,10,7,2391,2772,1893,5,9,8,2550,2034,1924,3,5,8,2798,3573,2605,5,5,6,2787,5101,1668
43,0,,,1,7,7,13,5065,5811,3217,7,12,7,1005,4274,4574,10,10,6,2836,2072,5647,8,10,13,2531,3012,6836,12,13,11,5470,2202,4236,9,7,9,3965,2737,4610,0,7,13,1396,5771,6250,9,13,10,1198,3670,5077,12,12,11,2110,2842,3039,3,12,13,4149,1889,1289,1,10,13,1495,2338,3064,13,11,10,2631,4773,7548,11,0,1,1834,2469,5301,3,10,0,4254,2244,8680,11,12,10,4185,7110,5654,0,14,0,2756,4289,4241,13,7,13,2018,2296,4622,11,0,0,3242,3392,4396,12,8,15,5598,8167,4426,12,13,5,2776,4349,7660,7,8,13,3946,5221,5716,1,13,15,1619,1414,5189,4,1,13,5974,9215,6377,7,12,0,943,5257,4462
44,0,,,2,5,7,20,5901,2198,5167,5,8,7,3694,3926,3706,6,8,6,1687,3279,3176,7,9,5,2338,2112,2395,5,7,7,7309,971,2172,6,7,9,6213,1599,3421,7,9,13,3879,2071,1241,7,8,11,9685,1817,3758,7,8,7,3613,1505,4092,6,9,7,1516,1607,2584,6,7,9,5766,1717,3276,7,10,9,6534,1807,1806,7,8,7,4483,1365,6235,6,8,7,4788,1774,3013,6,7,6,2651,1733,1880,6,5,6,3702,1734,5997,6,9,10,5216,7128,2139,5,8,9,1516,3037,1720,5,5,7,10387,2814,5712,5,8,6,3281,951,7263,5,10,10,3937,1279,1575,5,8,7,12448,1117,3571,5,5,9,2676,1764,1345,5,10,10,2432,2181,3621
71,0,,,1,10,5,10,3062,1713,3228,10,5,10,1611,928,1861,10,5,10,1475,895,1547,8,5,10,1763,1053,1541,8,0,1,1429,739,2093,5,2,0,1534,833,1849,3,0,3,1330,2665,1713,10,10,5,1388,2669,2424,5,5,5,2832,1631,1564,5,1,4,1150,1026,2715,5,1,0,1244,1004,3578,10,1,4,1322,1093,1876,10,1,8,1381,914,6795,3,1,0,2015,1782,1233,6,1,4,2068,809,3137,6,1,0,2411,1246,1131,5,5,4,6871,986,1515,10,10,8,1557,1670,8652,10,5,5,1399,995,4126,8,3,10,1246,840,5957,6,3,7,3189,799,5286,8,10,7,1126,1805,2302,12,10,10,1011,3841,11123,10,10,0,1595,2208,3763
73,1,,,2,10,9,12,5202,12,6309,10,8,10,2202,2298,2921,13,10,9,1978,3699,1705,13,12,11,1946,1598,3554,9,13,11,2826,2360,1633,5,6,8,1714,2167,3471,1,10,7,2935,4209,2919,16,12,13,3660,1559,8137,9,12,12,1487,3129,1873,8,8,9,1059,2092,6263,12,8,13,1124,1796,2350,12,10,11,2574,2806,2152,8,8,9,1729,955,1455,9,6,1,1052,3483,1679,10,12,11,1312,3842,1261,1,14,13,814,2117,1309,9,8,7,3488,2436,1720,13,10,8,1462,1809,3456,13,10,8,917,2481,1053,1,2,7,1155,3658,3034,13,10,8,1317,2337,1120,14,6,8,1461,2603,1804,8,10,8,1848,2451,1581,9,12,8,1295,4593,2364
