num,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24
55,2859,854,1629,695,720,589,6142,4493,4576,3837,1308,5560,2938,1815,1648,1509,1637,2046,8314,689,1445,1941,9055,8688,1016,1880,2797,1903,2044,3103,1908,3024,2941,2776,2050,2190,3112,2994,2724,2011,2016,2036,1909,2801,2139,1658,7003,2210,1475,1807,2266,1879,1695,1986,2057,2015,1743,2398,3087,9250,4601,7759,1926,2511,2546,2774,3118,3216,2865,2426,1579,6186
56,3365,4990,3542,1703,1100,1671,3038,5481,5776,3830,1416,1887,4862,2260,5433,2609,1320,1970,1585,12131,5964,1389,2508,9326,6776,1761,2663,1573,951,911,916,1148,896,833,809,870,893,987,1470,1068,987,967,724,1258,1259,1906,900,883,12846,2290,8743,6266,1681,817,3379,1620,951,8177,1344,795,6179,4295,3992,10063,739,3712,1866,4544,658,654,2960,5763
57,615,1239,640,646,506,633,704,737,614,683,660,815,593,1379,718,626,651,679,746,685,763,701,647,716,4599,2638,2195,2268,2245,2243,5063,2061,2167,2042,2002,2292,1992,2717,2295,2501,2021,2364,2236,2190,2162,2116,2522,2362,1613,1762,1584,1420,1909,1800,1835,1842,1816,1735,1786,1987,1835,2105,2084,1909,1882,2117,1825,1944,2145,2566,2294,2012
58,1879,3429,1579,1768,1573,5389,1437,2335,1750,1735,1407,3361,1302,3650,2189,2670,2118,2656,2286,4207,2963,2805,1869,2797,8745,4519,1561,5412,4962,7458,4700,3678,3331,2368,2452,3871,4556,2525,3430,4588,4735,8077,3204,1947,5037,3746,1957,2488,3957,1470,2943,979,1874,2380,2676,2227,2546,3196,1594,1745,1502,4309,2000,4719,1576,1399,997,2767,1400,1016,962,1441
59,3332,1940,1714,1787,2150,2717,2344,2063,2610,1012,2340,2017,2889,7324,3183,2130,1576,2820,1666,1766,1804,8580,1497,2080,1951,1773,1856,4237,2015,7316,1336,7490,7242,10875,942,6929,8714,4097,4781,4219,2952,6023,4546,1381,5059,8847,3072,3326,3214,1501,4729,4863,3114,1582,2743,5965,2257,2848,4485,7066,5240,4193,4103,1652,4120,3231,6176,2646,3984,8800,3591,4454
60,1363,981,1628,901,1698,2170,1542,1700,1885,2511,1969,1924,1712,3877,2948,2026,5176,3734,1599,732,1159,1082,1279,766,2642,3901,4576,3758,3118,3285,4137,5080,4927,3208,2385,3474,3146,1754,2561,3828,5550,3556,2420,3807,2041,3254,2469,1907,2640,2039,2595,4842,2269,2159,3914,3146,3043,3586,2834,2916,2743,3090,3259,3026,5151,2671,3178,3843,6699,7056,2195,5354
61,6475,1744,2138,2195,2326,2320,1572,2484,3082,2132,1728,1544,3386,2840,2219,1672,2638,2307,2462,1652,1801,1730,4062,2753,3583,1671,1580,3324,1523,2196,1913,1592,3802,3001,1417,2308,2302,3079,1235,2917,2386,2522,2450,1372,2127,1889,3300,2547,2105,1882,1845,1640,2121,1677,1353,1416,1581,1398,1419,1518,3821,1475,1788,1534,2145,1651,1433,1446,1615,1993,3048,3187
62,3280,2091,647,841,728,939,667,676,581,696,1379,705,651,590,616,846,589,672,656,780,766,737,1844,1984,999,3604,1353,1101,940,911,1376,1200,1178,990,1336,2067,1253,2666,932,970,2121,2210,1635,1038,1006,1520,1933,2128,1300,1513,2383,1054,8132,1820,1418,1614,1656,1511,1279,1256,1182,1316,1296,2265,1553,1480,1650,1529,1681,1305,1589,1630
63,3606,1802,2102,1414,2879,1420,1151,836,3106,1856,2351,2102,2358,1808,1445,2100,3764,1142,3422,3657,2166,1606,8476,1213,3177,1540,1154,755,967,853,769,859,12,1118,1360,871,924,795,637,888,799,1850,903,2184,794,1077,1168,1083,3781,1719,1126,1208,1204,1295,1115,982,2266,2224,918,1421,2417,2399,2183,3626,913,1195,1020,1159,1004,939,1018,2025
64,6175,1628,1931,1625,4261,1572,1864,3426,5906,1647,1643,4688,1722,1614,2010,1995,2014,2235,2274,1787,1648,2476,2031,1775,2611,1876,2675,2881,1709,3402,2704,1935,2036,1418,1668,1984,3270,2560,1645,2157,2668,3594,5163,1631,1800,1861,1980,5439,2310,2173,2531,1771,4749,1988,2907,2433,2109,2440,1368,2231,1571,4081,2825,2673,3180,1571,2185,2914,2656,1471,2347,3230
