num,a_le,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24
45,,3,3,15,16,3,3,3,16,16,3,14,14,3,3,2,2,2,17,16,17,16,3,2,2,16,6,20,18,19,3,6,18,19,2,6,18,20,3,16,13,12,20,18,2,19,12,4,2,13,13,3,4,16,4,14,15,14,3,13,14,2,13,13,2,13,12,14,2,15,14,2,14
46,2,0,0,7,0,0,8,0,0,7,0,0,6,0,0,8,0,0,6,0,0,9,0,0,7,0,0,6,0,0,9,0,0,9,0,0,5,0,0,8,0,0,6,0,0,11,9,0,6,0,1,0,5,5,0,0,0,5,0,0,7,0,0,6,0,0,5,0,0,7,0,0,10
47,2,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,9,0,9,0,0,0,0,8,0,10,0,0,0,10,10,8,10,8,10,0,0,0,0,0,10,0,8,8,8,0,0,10,0,10,0,12,11,9,10,8,8,0,9,0,0,10,10,0,8,0,9,9,9,0,0
48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,0,5,5,0,0,0,0,6,0,0,6,6,6,0,0,0,6,0,0,6,0,0,0,0,0,0,6,8,0,0,0,6,0,0,0,0,7,7,0,0,6,7,0,6,0,0,0,0,0,4,5,6,6,0,6,5,0,0,0,6,6,0,6,0,5,0,0,5,0,6
50,2,0,0,5,5,0,0,0,0,0,8,0,11,0,8,0,0,0,0,10,9,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,16,16,0,0,0,0,12,0,0,0,8,0,0,15,0,0,0,0,9,9,0,10,10,9,9,0,0,0
51,3,0,0,10,0,10,10,10,10,10,0,10,10,10,10,0,0,1,11,10,10,10,0,0,10,12,0,12,0,12,10,10,10,0,0,12,11,10,10,10,10,10,0,0,10,10,0,0,10,0,0,10,10,0,10,10,10,0,0,10,10,10,0,0,0,0,0,10,10,10,0,0,0
52,3,0,0,0,0,0,2,10,12,0,0,0,10,10,10,0,0,10,10,0,0,10,0,0,10,4,3,2,0,0,0,8,0,0,0,0,9,0,10,0,0,10,0,0,9,9,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,15,0,0,12,10,0,0,15,0,0,15,10
53,2,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,0,15,0,0,10,0,10,0,10,0,11,0,10,0,10,10,10,10,0,10,0,10,10,10,10,0,0,10,10,0,10,10,0,1,3,19,0,19,0,20,8,20,1,16,18,11,0,0,20,19,2,1,16,20,20,9,11
54,2,0,0,0,5,5,0,0,5,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,6,0,0,0,7,0,0,0,10,0,0,0,4,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,5,0,0,0,5
